age,country,nLx,nKx,nFx
0,United States,497091.657,9621.269,0
5,United States,496650.512,9798.759,0
10,United States,496309.737,10311.974,0
15,United States,495529.021,10408.587,19.86
20,United States,493828.57,10936.013,72.158
25,United States,491288.31,11690.875,99.798
30,United States,488048.282,11349.965,100.224
35,United States,484079.609,10756.92,51.374
40,United States,479373.845,10176.017,11.12
45,United States,473228.665,10084.699,0.746
50,United States,464073.599,10258.272,0
55,United States,449748.188,10840.205,0
60,United States,429437.924,10619.257,0
65,United States,402895.671,9353.753,0
70,United States,366436.603,7709.344,0
75,United States,316855.271,5400.748,0
80,United States,252274.438,3655.579,0
85,United States,272418.418,7899.974,0
0,S Korea,498535.9443,922.711,0
5,S Korea,498313.2765,1098.051,0
10,S Korea,498144.4234,1101.938,0
15,S Korea,497825.7367,1187.207,1.379
20,S Korea,497239.8147,1533.115,11.58
25,S Korea,496507.9723,1629.191,45.778
30,S Korea,495611.7781,1548.938,105.492
35,S Korea,494347.5019,1822.801,52.911
40,S Korea,492669.6064,1909.121,4.651
45,S Korea,490378.2605,2107.488,0.209
50,S Korea,487310.2226,2147.031,0
55,S Korea,483118.4013,2078.609,0
60,S Korea,477360.644,1918.662,0
65,S Korea,468932.9343,1391.279,0
70,S Korea,454508.6616,1068.27,0
75,S Korea,424951.8594,897.655,0
80,S Korea,367777.3741,679.943,0
85,S Korea,485255.8884,561.319,0
0,Kenya,483525.4178,3486.021,0
5,Kenya,478612.6721,3461.279,0
10,Kenya,476497.3858,3340.913,0
15,Kenya,474353.3236,2988.795,75.078
20,Kenya,471433.9131,2617.391,176.537
25,Kenya,467224.2227,2190.5,179.768
30,Kenya,461004.7061,2030.044,129.592
35,Kenya,452183.4148,1743.029,85.85
40,Kenya,440250.4998,1397.049,34.78
45,Kenya,424912.5466,1088.429,22.395
50,Kenya,406296.6108,821.975,0
55,Kenya,384539.9018,627.839,0
60,Kenya,357875.19,477.352,0
65,Kenya,323131.3886,351.13,0
70,Kenya,276077.2996,220.032,0
75,Kenya,214684.7368,116.868,0
80,Kenya,143573.1143,65.195,0
85,Kenya,108110.5588,28.932,0
0,Niger,471354.7265,2347.101,0
5,Niger,457429.9717,1951.895,0
10,Niger,450737.5831,1606.445,0
15,Niger,446417.6696,1295.348,186.538
20,Niger,443480.3648,1023.829,307.273
25,Niger,439666.7214,799.637,298.003
30,Niger,434844.9139,640.93,263.127
35,Niger,428619.256,539.659,200.868
40,Niger,420462.0137,440.514,88.404
45,Niger,409640.6159,357.355,45.787
50,Niger,394525.1148,295.506,0
55,Niger,373381.4851,236.453,0
60,Niger,343578.4656,180.762,0
65,Niger,303063.4328,132.004,0
70,Niger,249369.643,98.722,0
75,Niger,184596.3301,58.684,0
80,Niger,117577.2812,24.109,0
85,Niger,86759.00729,7.438,0